Type,Name,Address,Grade,District,AGA Division,PS/MC/UC
Travel Agents,TRAVEL DELEGATES PVT LTD,"NO. 1B, 1/3,,DEANSTON PLACE,COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,JAYAMPATHI LANKA HOLIDAYS(PTV)LTD,"DAMBOKKA JUNCTION ,COLOMBO ROAD,KURUNEGALA",,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat
Travel Agents,BLESSED TRAVEL & TOUR AGENCY,"BABARANDAGEWATHTHA,BATHEEGAMA,DICKWELLA.",,Matara,Dickwella,Dickwella Divisional Secretariat
Travel Agents,EDLEE TOURS TRAVELS (PRIVATE) LIMITED,"76,NEGOMBO BUS TERMINAL,NEGOMBO",,Gampaha,Negombo,Negombo Divisional Secretariat
Travel Agents,ISLANDWYDE,"NO. 42/C, 02ND LANE, GAMMANAWATTA ROAD, MAWITTARA, PILIYANDALA",,Colombo,Kesbewa,Kesbewa Divisional Secretariat
Travel Agents,LEOLAND TRAVELS (PRIVATE) LIMITED,"320/B/1 , KADUWELA ROAD , MALABE",,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat
Travel Agents,VENUS TRAVELS AND TOURS PVT LTD,"NO347A,4TH CROSS STREET, KOTTE ROAD,MIRIHANA, NUGEGODA",,Colombo,Kotte Muncipal Council,Nugegoda Divisional Secretariat
Travel Agents,LAGOON DESTINATION TOURS (PVT) LTD,"NO,179 1/1 ANANDA ATHOKORALLA ROAD,KARAWDENIYA,RUWANWELLA.",,Kegalle,Ruwanwella Pradeshiya Sabha,Ruwanwella Divisional Secretariat
Travel Agents,FLY WORLD,"147B 1/1, W. A SILVA MAWATHA,COLOMBO-06.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,ZELDIVA LANKA PRIVATE LIMITED,"NO: 228, 2ND FLOOR,KADAWATHA ROAD,DEHIWALA",,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
Travel Agents,D.HOLIDAYS (PVT) LTD,"NO.560,03RD FLOOR, GALLE ROAD, COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat
